storeid,name,state,latitude,longitude
185,precipitable,SD,43.986953,-100.933939
186,osmogene,WV,39.135357,-79.971123
187,wootz,N/A,41.385011,-71.761118
188,pallall,N/A,42.687335,-70.592981
189,draughtboard,GA,32.69705,-82.8099
190,vesiculate,N/A,46.589421,-93.708117
191,saccule,N/A,39.676664,-116.57882
192,semiball,N/A,39.135357,-79.971123
193,caryatid,MD,39.961934,-77.585399
194,aftertask,SC,34.825736,-80.940043
195,naticine,OK,35.417152,-96.413291
196,Capri,WI,43.74468,-90.21
197,telosynaptist,VA,38.749076,-77.684586
198,telling,TN,36.489038,-87.150089
199,unilaterality,NC,35.806799,-80.785162
200,epithetic,AL,32.238621,-86.634725
201,superagitation,N/A,42.27911,-75.091934
202,undisprovable,NC,35.806799,-80.785162
203,metalworking,MS,33.71764,-89.748961
204,actinology,KY,38.621066,-83.629553
205,woppish,MT,47.313333,-109.762502
206,antiantibody,KY,38.621066,-83.629553
207,homebound,MA,42.687335,-70.592981
208,paranuclear,OK,35.417152,-96.413291
209,O,N/A,31.850459,-100.575033
210,Schoodic,SD,43.986953,-100.933939
211,epochism,IL,40.039841,-89.169822
212,thiophosgene,N/A,38.632763,-74.796808
213,Khalifat,NV,39.676664,-116.57882
214,preministry,ND,47.470136,-99.485854
215,cotemporanean,AK,65.556618,-153.846065
216,thalamiflorous,PA,41.816814,-77.758577
217,eternal,NY,42.27911,-75.091934
218,surveyor,TX,31.850459,-100.575033
219,rebargain,N/A,38.632763,-74.796808
220,groomling,AL,32.238621,-86.634725
221,blotty,N/A,42.23523,-70.950071
222,turner,AZ,33.311094,-111.410962
223,savagess,CA,37.338709,-118.425692
224,sacraria,ND,47.470136,-99.485854
225,fallenness,N/A,37.338709,-118.425692
226,admedian,NY,42.27911,-75.091934
227,unvoluminous,TN,36.489038,-87.150089
228,intercircle,N/A,43.22038,-115.126167
229,opisthotonoid,NC,35.806799,-80.785162
230,biocoenosis,N/A,34.825736,-80.940043
231,sonification,ND,47.470136,-99.485854
232,lopsided,N/A,46.589421,-93.708117
233,wifeship,NE,40.635552,-100.304088
234,scytheman,PA,41.816814,-77.758577
235,pantisocracy,TN,36.489038,-87.150089
236,osamine,N/A,65.556618,-153.846065
237,paramastigate,N/A,33.911217,-105.86312
238,Hippidion,MD,39.961934,-77.585399
239,pushfulness,PA,41.816814,-77.758577
240,tetrameralian,SD,43.986953,-100.933939
241,disobedience,CO,38.728398,-105.734071
242,trifarious,N/A,43.778586,-84.178101
243,masjid,N/A,39.676664,-116.57882
244,bromizer,OK,35.417152,-96.413291
245,palmilobated,NE,40.635552,-100.304088
246,pantanencephalic,MI,43.778586,-84.178101
247,heavyhearted,GA,32.69705,-82.8099
248,invariance,HI,19.349615,-155.81074
249,dentirostral,ND,47.470136,-99.485854
250,parenchymatitis,PA,41.816814,-77.758577
251,Tubatulabal,MI,43.778586,-84.178101
252,mycosozin,GA,32.69705,-82.8099
253,nonsustaining,ND,47.470136,-99.485854
254,hypozoan,UT,39.315531,-112.359678
255,supervast,HI,19.349615,-155.81074
256,rhyparography,ME,45.662978,-68.055975
257,iridodesis,MO,38.301227,-93.123587
258,characterological,ME,45.662978,-68.055975
259,holoquinonic,ID,43.22038,-115.126167
260,semistarvation,NC,35.806799,-80.785162
261,halting,AK,65.556618,-153.846065
262,jargonization,SC,34.825736,-80.940043
263,tent,N/A,40.635552,-100.304088
264,preutilization,TX,31.850459,-100.575033
265,Pittosporaceae,NC,35.806799,-80.785162
266,unseeking,N/A,43.22038,-115.126167
267,Marasmius,NV,39.676664,-116.57882
268,reminiscency,MS,33.71764,-89.748961
269,everywhere,N/A,33.311094,-111.410962
270,bavian,WI,43.74468,-90.21
271,Chackchiuma,NV,39.676664,-116.57882
272,ruminative,N/A,43.425296,-73.085636
273,epigene,ID,43.22038,-115.126167
274,gonytheca,N/A,35.806799,-80.785162
275,xanthogenate,NM,33.911217,-105.86312
276,cestoidean,VA,38.749076,-77.684586
277,quiet,N/A,41.816814,-77.758577
278,unmopped,N/A,29.671169,-92.643289
279,unmemorialized,MA,42.687335,-70.592981
280,piddle,MO,38.301227,-93.123587
281,eastbound,IL,40.039841,-89.169822
282,organicistic,N/A,41.816814,-77.758577
283,unglossiness,NJ,38.972055,-75.76791
284,rezbanyite,NJ,38.972055,-75.76791
285,daresay,ND,47.470136,-99.485854
286,moisture,N/A,41.816814,-77.758577
287,ineradicable,IL,40.039841,-89.169822
288,immunologist,ID,43.22038,-115.126167
289,cardecu,GA,32.69705,-82.8099
290,sinuauricular,VA,38.749076,-77.684586
291,ethnobotanist,ND,47.470136,-99.485854
292,undersize,NV,39.676664,-116.57882
293,subtractive,NC,35.806799,-80.785162
294,stackyard,KY,38.621066,-83.629553
295,Nereid,N/A,39.676664,-116.57882
296,clastic,IA,41.85447,-94.461398
297,condensation,N/A,38.632763,-74.796808
298,atelectasis,N/A,35.417152,-96.413291
299,morello,HI,19.349615,-155.81074
300,tumulosity,ID,43.22038,-115.126167
301,gurgle,DE,38.632763,-74.796808
302,benzamine,MN,46.589421,-93.708117
303,kotal,N/A,43.425296,-73.085636
304,polycentric,AZ,33.311094,-111.410962
305,dorsale,HI,19.349615,-155.81074
306,conirostral,CA,37.338709,-118.425692
307,Hippelates,NM,33.911217,-105.86312
308,tureen,AK,65.556618,-153.846065
309,supergene,WY,43.469355,-106.719711
310,nonround,MA,42.687335,-70.592981
311,acetamide,IL,40.039841,-89.169822
312,hornerah,GA,32.69705,-82.8099
313,endamebic,CA,37.338709,-118.425692
314,palaeohistology,NH,44.510675,-70.607969
315,Capsian,KY,38.621066,-83.629553
316,god,UT,39.315531,-112.359678
317,drawsheet,N/A,42.687335,-70.592981
318,scalelike,MA,42.687335,-70.592981
319,monochromous,LA,29.671169,-92.643289
320,superheroic,ND,47.470136,-99.485854
321,prefecundation,IL,40.039841,-89.169822
322,larklike,MS,33.71764,-89.748961
323,intervertebrally,OH,40.274536,-83.800318
324,largitional,SC,34.825736,-80.940043
325,psychogenetical,WA,48.190208,-120.139024
326,unintelligibility,IA,41.85447,-94.461398
327,semibreve,N/A,39.135357,-79.971123
328,gowfer,OR,43.923863,-121.494144
329,inlayer,MT,47.313333,-109.762502
330,imamic,NM,33.911217,-105.86312
331,presupposal,MA,42.687335,-70.592981
332,comparer,CO,38.728398,-105.734071
333,Cumaean,WI,43.74468,-90.21
334,platitudinist,MI,43.778586,-84.178101
335,crux,N/A,38.301227,-93.123587
336,hieroglyphology,MN,46.589421,-93.708117
337,kawaka,AK,65.556618,-153.846065
338,viriliously,AL,32.238621,-86.634725
339,unigenital,TX,31.850459,-100.575033
340,larbowlines,AR,35.752108,-92.908908
341,unneedy,OH,40.274536,-83.800318
342,uncentrally,OH,40.274536,-83.800318
343,riddle,AR,35.752108,-92.908908
344,Chatino,N/A,38.621066,-83.629553
345,Goanese,NV,39.676664,-116.57882
346,Korwa,WA,48.190208,-120.139024
347,jettyhead,HI,19.349615,-155.81074
348,brocatello,N/A,39.135357,-79.971123
349,tickseeded,WA,48.190208,-120.139024
350,deaminization,ID,43.22038,-115.126167
351,arithmometer,VT,43.425296,-73.085636
352,exportability,NV,39.676664,-116.57882
353,Germanophobic,NY,42.27911,-75.091934
354,befrumple,TN,36.489038,-87.150089
355,Nycticorax,ID,43.22038,-115.126167
356,phenylene,N/A,36.489038,-87.150089
357,Clayton,N/A,41.85447,-94.461398
358,undemanded,AZ,33.311094,-111.410962
359,uroleucinic,N/A,43.22038,-115.126167
360,unmonopolize,N/A,40.198988,-85.969526
361,habilitate,KS,38.785134,-98.102382
362,succub,HI,19.349615,-155.81074
363,wice,CO,38.728398,-105.734071
364,jammer,DE,38.632763,-74.796808
365,churchwards,SD,43.986953,-100.933939
366,unturpentined,N/A,65.556618,-153.846065
367,fibroreticulate,N/A,33.911217,-105.86312
368,repand,GA,32.69705,-82.8099
369,pressmark,WY,43.469355,-106.719711
370,agglutinable,N/A,43.986953,-100.933939
371,snarler,SD,43.986953,-100.933939
372,roquer,DE,38.632763,-74.796808
373,heptandrous,OH,40.274536,-83.800318
374,binoculate,CA,37.338709,-118.425692
375,secesh,KY,38.621066,-83.629553
376,grigri,ME,45.662978,-68.055975
377,Malacanthus,AK,65.556618,-153.846065
378,longirostrine,OR,43.923863,-121.494144
379,pennill,AL,32.238621,-86.634725
380,unresolvable,N/A,40.039841,-89.169822
381,subscapulary,MN,46.589421,-93.708117
382,verbigerative,N/A,42.23523,-70.950071
383,Micronesian,AZ,33.311094,-111.410962
384,huzoor,CO,38.728398,-105.734071
385,chytrid,VT,43.425296,-73.085636
386,fanlight,N/A,45.662978,-68.055975
387,propagate,WI,43.74468,-90.21
388,kassu,CA,37.338709,-118.425692
389,Mirabell,AL,32.238621,-86.634725
390,hexametric,N/A,48.190208,-120.139024
391,encephalorrhagia,N/A,47.470136,-99.485854
392,repurple,WA,48.190208,-120.139024
393,procoercive,N/A,34.825736,-80.940043
394,Afrogaea,TN,36.489038,-87.150089
395,bearish,N/A,38.728398,-105.734071
396,desmidiology,N/A,35.806799,-80.785162
397,Homeridian,N/A,31.850459,-100.575033
398,confederacy,SD,43.986953,-100.933939
399,metamery,DE,38.632763,-74.796808
400,Lethocerus,MI,43.778586,-84.178101
401,weazened,HI,19.349615,-155.81074
402,cirriped,NJ,38.972055,-75.76791
403,intransparency,RI,42.23523,-70.950071
404,gelatose,WA,48.190208,-120.139024
405,resolver,CA,37.338709,-118.425692
406,pseudofoliaceous,TN,36.489038,-87.150089
407,suctorian,WI,43.74468,-90.21
408,tragus,CT,41.385011,-71.761118
409,Stokavian,N/A,31.850459,-100.575033
410,quire,GA,32.69705,-82.8099
411,Pheny,N/A,39.315531,-112.359678
412,unvanishing,WY,43.469355,-106.719711
413,Fabian,OR,43.923863,-121.494144
414,oversmoothness,AZ,33.311094,-111.410962
415,gnathonism,N/A,35.752108,-92.908908
416,carbamino,DE,38.632763,-74.796808
417,bret,VT,43.425296,-73.085636
418,patercove,MA,42.687335,-70.592981
419,penman,VT,43.425296,-73.085636
420,adenoid,MI,43.778586,-84.178101
421,globulolysis,WA,48.190208,-120.139024
422,renculus,TN,36.489038,-87.150089
423,craniopathic,NC,35.806799,-80.785162
424,comatula,CT,41.385011,-71.761118
425,apadana,N/A,38.728398,-105.734071
426,pelycosaur,N/A,36.489038,-87.150089
427,scoutmaster,HI,19.349615,-155.81074
428,zoothome,WV,39.135357,-79.971123
429,bacchanalian,N/A,45.662978,-68.055975
430,nonviviparous,NY,42.27911,-75.091934
431,centauromachia,N/A,43.425296,-73.085636
432,karyolytic,IN,40.198988,-85.969526
433,spousal,PA,41.816814,-77.758577
434,prerespectability,MO,38.301227,-93.123587
435,scarfer,N/A,43.923863,-121.494144
436,rededuct,VT,43.425296,-73.085636
437,modestly,AZ,33.311094,-111.410962
438,blithemeat,SC,34.825736,-80.940043
439,furiosa,N/A,32.69705,-82.8099
440,petechiate,MD,39.961934,-77.585399
441,tinniness,N/A,38.728398,-105.734071
442,brakie,CO,38.728398,-105.734071
443,mossberry,SC,34.825736,-80.940043
444,hobber,NC,35.806799,-80.785162
445,Osc,MD,39.961934,-77.585399
446,sneerer,AZ,33.311094,-111.410962
447,Ustilaginales,NM,33.911217,-105.86312
448,millsite,SC,34.825736,-80.940043
449,elasticize,WI,43.74468,-90.21
450,clairecolle,TX,31.850459,-100.575033
451,madoqua,KS,38.785134,-98.102382
452,subgyrus,N/A,38.785134,-98.102382
453,indoctrinization,OR,43.923863,-121.494144
454,atrickle,N/A,35.417152,-96.413291
455,mortally,KS,38.785134,-98.102382
456,Pygidium,N/A,40.274536,-83.800318
457,scyllioid,ME,45.662978,-68.055975
458,lobectomy,RI,42.23523,-70.950071
459,bluestone,OH,40.274536,-83.800318
460,outecho,N/A,38.972055,-75.76791
461,isometry,CT,41.385011,-71.761118
462,eightfoil,N/A,28.4608,-81.728756
463,answerless,N/A,36.489038,-87.150089
464,idioretinal,NC,35.806799,-80.785162
465,viraginity,ME,45.662978,-68.055975
466,hedgehopper,N/A,38.785134,-98.102382
467,quizzicalness,AL,32.238621,-86.634725
468,introversive,CT,41.385011,-71.761118
469,megatherine,NY,42.27911,-75.091934
470,propinquant,MN,46.589421,-93.708117
471,untitled,AK,65.556618,-153.846065
472,miscommunicate,NC,35.806799,-80.785162
473,microcrystalline,N/A,35.417152,-96.413291
474,churchwardenship,N/A,42.23523,-70.950071
475,hetmanate,IN,40.198988,-85.969526
476,filthify,N/A,43.923863,-121.494144
477,householding,DE,38.632763,-74.796808
478,tarbadillo,CT,41.385011,-71.761118
479,inflatus,HI,19.349615,-155.81074
480,suggestivity,N/A,42.23523,-70.950071
481,Araneina,RI,42.23523,-70.950071
482,actinomycoma,N/A,48.190208,-120.139024
483,chatoyance,ND,47.470136,-99.485854
484,protopoetic,MO,38.301227,-93.123587
485,mazapilite,AR,35.752108,-92.908908
486,saute,N/A,42.687335,-70.592981
487,bogo,ND,47.470136,-99.485854
488,revelry,MA,42.687335,-70.592981
489,xeronic,N/A,35.417152,-96.413291
490,thralldom,MO,38.301227,-93.123587
491,cagit,MN,46.589421,-93.708117
492,smokehouse,NV,39.676664,-116.57882
493,fenite,N/A,34.825736,-80.940043
494,subexternal,WV,39.135357,-79.971123
495,condiction,GA,32.69705,-82.8099
496,vinously,NH,44.510675,-70.607969
497,countervene,KS,38.785134,-98.102382
498,turboexciter,DE,38.632763,-74.796808
499,unwhimsical,NV,39.676664,-116.57882
500,nonconfinement,NC,35.806799,-80.785162
501,vitric,OR,43.923863,-121.494144
502,Delesseriaceae,IN,40.198988,-85.969526
503,dodecagon,WV,39.135357,-79.971123
504,full,AR,35.752108,-92.908908
505,bricking,NJ,38.972055,-75.76791
506,undimidiate,SD,43.986953,-100.933939
507,fretting,N/A,43.22038,-115.126167
508,pantomorphia,IA,41.85447,-94.461398
509,tastingly,N/A,40.635552,-100.304088
510,viruliferous,LA,29.671169,-92.643289
511,grane,AL,32.238621,-86.634725
512,kneelingly,DE,38.632763,-74.796808
513,petalodontid,KY,38.621066,-83.629553
514,polychaetous,MO,38.301227,-93.123587
515,oversentimentalism,ND,47.470136,-99.485854
516,awkwardness,N/A,43.469355,-106.719711
517,squarson,IN,40.198988,-85.969526
518,boatless,VT,43.425296,-73.085636
519,Ferocactus,IL,40.039841,-89.169822
520,patchword,IL,40.039841,-89.169822
521,floodwater,N/A,36.489038,-87.150089
522,kinetical,IL,40.039841,-89.169822
523,idiomaticalness,ME,45.662978,-68.055975
524,laroid,AZ,33.311094,-111.410962
525,tetartohedron,PA,41.816814,-77.758577
526,huffishly,HI,19.349615,-155.81074
527,operosity,NY,42.27911,-75.091934
528,hyacinthine,NE,40.635552,-100.304088
529,superfrontal,PA,41.816814,-77.758577
530,pelanos,N/A,48.190208,-120.139024
531,caterpillared,ME,45.662978,-68.055975
532,gripment,ND,47.470136,-99.485854
533,unsowed,N/A,40.274536,-83.800318
534,underpetticoated,TX,31.850459,-100.575033
535,Ptiliidae,N/A,42.27911,-75.091934
536,announce,MO,38.301227,-93.123587
537,dihexahedral,CO,38.728398,-105.734071
538,haymaker,MA,42.687335,-70.592981
539,tri,NC,35.806799,-80.785162
540,Protremata,FL,28.4608,-81.728756
541,interclasp,MD,39.961934,-77.585399
542,formaldehyde,ME,45.662978,-68.055975
543,rosewort,LA,29.671169,-92.643289
544,fiddleheaded,MT,47.313333,-109.762502
545,condescend,GA,32.69705,-82.8099
546,epizoon,CT,41.385011,-71.761118
547,street,FL,28.4608,-81.728756
548,beletter,N/A,31.850459,-100.575033
549,homosystemic,PA,41.816814,-77.758577
550,heelpost,NH,44.510675,-70.607969
551,styloglossus,CO,38.728398,-105.734071
552,vassalage,OH,40.274536,-83.800318
553,hamulate,OR,43.923863,-121.494144
554,Umbriel,DE,38.632763,-74.796808
555,ungreen,SC,34.825736,-80.940043
556,mapach,SC,34.825736,-80.940043
557,fuff,OR,43.923863,-121.494144
558,winterward,NV,39.676664,-116.57882
559,overpotent,NH,44.510675,-70.607969
560,iridescent,UT,39.315531,-112.359678
561,cataractine,MN,46.589421,-93.708117
562,trinomialism,N/A,38.301227,-93.123587
563,meadowless,AR,35.752108,-92.908908
564,perimorphism,AL,32.238621,-86.634725
565,grapsoid,N/A,19.349615,-155.81074
566,goddize,NH,44.510675,-70.607969
567,Unitarian,N/A,39.676664,-116.57882
568,Goneril,MO,38.301227,-93.123587
569,partridging,WI,43.74468,-90.21
570,cottontop,OR,43.923863,-121.494144
571,multiplicity,N/A,47.313333,-109.762502
572,lignicoline,N/A,38.728398,-105.734071
573,squawflower,PA,41.816814,-77.758577
574,boatsman,MD,39.961934,-77.585399
575,underoxidize,WI,43.74468,-90.21
576,hebdomader,WY,43.469355,-106.719711
577,arsenotungstates,NE,40.635552,-100.304088
578,hemospasia,NH,44.510675,-70.607969
579,indisturbable,NM,33.911217,-105.86312
580,omphalotomy,VA,38.749076,-77.684586
581,sustentational,GA,32.69705,-82.8099
582,anticytolysin,NH,44.510675,-70.607969
583,Vortumnus,NJ,38.972055,-75.76791
584,serranoid,PA,41.816814,-77.758577
585,adarme,N/A,39.315531,-112.359678
586,pulvillar,WV,39.135357,-79.971123
587,sialagoguic,NC,35.806799,-80.785162
588,humorlessness,AK,65.556618,-153.846065
589,trelliswork,AZ,33.311094,-111.410962
590,Audubonistic,N/A,40.198988,-85.969526
591,complexionist,UT,39.315531,-112.359678
592,chainman,NH,44.510675,-70.607969
593,subtrude,NV,39.676664,-116.57882
594,physicomorphic,N/A,47.470136,-99.485854
595,malleiferous,MS,33.71764,-89.748961
596,Dargo,AR,35.752108,-92.908908
597,shipbuilder,OH,40.274536,-83.800318
598,Norfolk,N/A,34.825736,-80.940043
599,strake,MO,38.301227,-93.123587
600,Tibetan,CT,41.385011,-71.761118
601,catharize,MO,38.301227,-93.123587
602,basellaceous,N/A,38.785134,-98.102382
603,Chailletiaceae,SD,43.986953,-100.933939
604,overheadman,N/A,43.469355,-106.719711
605,detonative,N/A,65.556618,-153.846065
606,scorched,MD,39.961934,-77.585399
607,demicircle,MT,47.313333,-109.762502
608,overgrown,SC,34.825736,-80.940043
609,replum,N/A,32.69705,-82.8099
610,coparent,KY,38.621066,-83.629553
611,besieged,WV,39.135357,-79.971123
612,Pleurodira,CO,38.728398,-105.734071
613,counterweigh,N/A,29.671169,-92.643289
614,Rhaetic,KS,38.785134,-98.102382
615,sextry,ID,43.22038,-115.126167
616,afterproof,KY,38.621066,-83.629553
617,eglestonite,MA,42.687335,-70.592981
618,posteroterminal,PA,41.816814,-77.758577
619,optomeninx,IL,40.039841,-89.169822
620,quinquelobed,SC,34.825736,-80.940043
621,barefoot,OH,40.274536,-83.800318
622,Ailuropus,MS,33.71764,-89.748961
623,howitzer,OH,40.274536,-83.800318
624,zarnich,AZ,33.311094,-111.410962
625,shagpate,N/A,19.349615,-155.81074
626,aetheogamous,AK,65.556618,-153.846065
627,unhoary,OK,35.417152,-96.413291
628,denaturalize,WY,43.469355,-106.719711
629,decurrency,WV,39.135357,-79.971123
630,Paris,FL,28.4608,-81.728756
631,inscrutables,PA,41.816814,-77.758577
632,frontolysis,WA,48.190208,-120.139024
633,workless,AK,65.556618,-153.846065
634,uninfluenceable,NE,40.635552,-100.304088
635,stormingly,CA,37.338709,-118.425692
636,univariant,NM,33.911217,-105.86312
637,poltfooted,CT,41.385011,-71.761118
638,diarchic,MO,38.301227,-93.123587
639,serotinous,CO,38.728398,-105.734071
640,Mesonemertini,MO,38.301227,-93.123587
641,indentured,WA,48.190208,-120.139024
642,phlebotomically,TX,31.850459,-100.575033
643,yees,OR,43.923863,-121.494144
644,Chionaspis,NJ,38.972055,-75.76791
645,jingler,MT,47.313333,-109.762502
646,superableness,IA,41.85447,-94.461398
647,Poduridae,IA,41.85447,-94.461398
648,checkroom,KS,38.785134,-98.102382
649,elapoid,MD,39.961934,-77.585399
