storeid,itemid,price,time
452,3,41.07,2020-01-29
586,43,74.55,2020-11-15
727,42,31.39,2020-04-10
353,24,0.84,2020-03-22
995,18,44.9,2020-02-05
181,49,30.69,2020-10-06
82,1,69.97,2020-10-14
330,10,4.09,2020-04-17
31,29,39.83,2020-11-02
567,33,49.12,2020-03-06
634,16,56.7,2020-11-26
919,9,6.89,2020-01-20
693,19,48.29,2020-07-10
682,18,12.66,2020-02-29
856,39,49.41,2020-01-31
574,13,75.76,2020-01-23
581,26,35.91,2020-04-04
472,22,41.25,2020-06-08
846,24,79.96,2020-09-02
436,4,73.69,2020-12-16
712,11,11.42,2020-05-28
802,22,44.34,2020-12-22
900,50,10.66,2020-01-24
528,30,2.73,2020-09-07
556,49,25.26,2020-12-06
382,22,63.74,2020-10-13
468,17,56.87,2020-11-07
338,2,23.01,2020-09-26
855,49,49.32,2020-08-12
334,16,26.31,2020-06-24
226,5,69.87,2020-02-16
615,26,28.94,2020-11-06
299,7,39.02,2020-08-17
305,29,21.89,2020-10-14
779,30,16.62,2020-06-13
663,46,27.06,2020-09-22
100,45,41.18,2020-02-21
851,14,15.74,2020-11-23
207,41,8.21,2020-07-08
221,11,66.26,2020-12-05
248,31,79.38,2020-01-27
902,20,51.76,2020-05-09
766,17,10.86,2020-09-22
101,10,99.68,2020-06-19
940,22,51.09,2020-09-20
287,45,41.64,2020-03-22
824,17,94.52,2020-05-19
401,17,56.03,2020-04-30
740,6,99.5,2020-09-15
955,36,26.35,2020-08-18
58,46,52.84,2020-07-02
553,49,67.48,2020-11-23
600,46,79.31,2020-10-01
701,11,30.9,2020-10-28
831,31,50.93,2020-02-19
147,31,75.16,2020-01-24
71,25,89.54,2020-04-28
741,28,68.51,2020-04-01
820,46,91.71,2020-09-30
853,34,37.11,2020-06-22
579,26,57.53,2020-11-27
278,42,44.03,2020-03-19
952,16,90.96,2020-03-08
787,47,69.17,2020-07-19
363,17,60.86,2020-01-25
256,5,64.78,2020-02-14
800,47,86.79,2020-01-21
44,1,94.09,2020-10-20
153,4,27.69,2020-05-29
384,31,54.46,2020-12-21
330,2,18.47,2020-09-21
963,4,54.37,2020-12-17
137,9,51.54,2020-04-28
592,10,67.63,2020-01-10
335,43,24.94,2020-02-16
875,8,41.44,2020-02-29
27,27,89.84,2020-09-29
175,29,12.69,2020-01-31
14,12,7.45,2020-05-04
131,5,15.22,2020-07-08
730,28,43.05,2020-02-01
287,31,75.92,2020-06-13
240,1,77.51,2020-08-27
517,34,47.26,2020-08-08
81,50,79.24,2020-04-30
407,45,90.99,2020-01-14
395,14,36.24,2020-12-08
803,46,35.08,2020-11-09
848,31,33.22,2020-05-22
653,37,86.97,2020-05-27
205,25,63.16,2020-09-24
536,29,53.85,2020-12-26
762,16,78.24,2020-08-08
555,47,51.83,2020-09-04
697,2,90.47,2020-11-04
12,19,73.83,2020-11-22
732,1,38.73,2020-10-02
511,22,96.15,2020-12-21
426,20,32.48,2020-10-08
720,27,55.09,2020-04-01
620,30,98.65,2020-04-10
130,46,37.16,2020-06-08
291,40,32.99,2020-07-02
287,14,38.91,2020-09-22
131,46,58.86,2020-01-29
504,50,7.38,2020-06-25
667,6,96.47,2020-05-13
398,22,66.61,2020-06-05
614,24,41.25,2020-05-02
270,35,87.58,2020-07-31
120,44,28.19,2020-09-12
640,31,21.1,2020-01-13
681,1,75.95,2020-07-19
848,26,45.24,2020-01-30
750,7,19.89,2020-08-17
194,40,76.67,2020-09-29
431,15,83.81,2020-10-03
232,33,54.48,2020-07-13
968,7,70.42,2020-11-27
695,42,94.24,2020-04-07
945,4,98.17,2020-08-01
716,38,46.4,2020-10-11
945,24,98.71,2020-08-15
689,32,23.09,2020-08-13
949,3,92.92,2020-06-21
81,30,58.78,2020-05-10
575,27,68.65,2020-04-19
188,30,74.41,2020-08-03
267,2,44.37,2020-04-08
724,43,21.15,2020-03-19
34,26,59.22,2020-06-13
560,41,15.89,2020-10-13
308,18,30.36,2020-04-13
554,36,76.42,2020-08-08
296,1,39.88,2020-06-12
495,22,77.47,2020-03-30
727,32,81.26,2020-05-20
110,19,45.7,2020-06-22
239,43,51.5,2020-05-03
609,47,77.02,2020-12-12
806,4,48.9,2020-04-03
769,35,39.95,2020-02-09
926,28,96.77,2020-07-05
470,38,64.94,2020-09-06
835,12,93.98,2020-03-17
295,24,7.07,2020-02-08
892,49,58.74,2020-06-17
379,31,41.28,2020-01-12
261,23,99.96,2020-09-29
365,19,99.81,2020-07-18
349,37,78.39,2020-02-17
41,19,62.28,2020-06-29
62,15,1.0,2020-04-13
37,49,9.49,2020-10-13
408,4,12.15,2020-09-30
413,12,42.68,2020-12-25
10,23,3.48,2020-05-02
352,32,24.44,2020-10-11
395,47,13.61,2020-07-10
367,34,38.51,2020-01-24
513,10,87.8,2020-10-06
799,24,34.36,2020-04-17
704,27,64.59,2020-04-02
745,25,44.38,2020-02-03
631,4,89.62,2020-03-06
158,4,74.32,2020-10-16
889,14,35.43,2020-01-21
295,42,28.2,2020-11-25
639,34,91.21,2020-01-23
993,4,85.72,2020-10-19
645,19,57.97,2020-01-16
220,17,2.04,2020-09-02
151,8,36.41,2020-05-04
235,12,18.6,2020-03-16
430,48,28.95,2020-03-01
247,31,2.55,2020-07-03
309,14,59.11,2020-08-04
648,17,91.56,2020-07-24
432,44,60.31,2020-07-07
231,39,36.16,2020-06-21
567,22,89.51,2020-08-07
183,7,51.26,2020-04-18
899,48,66.06,2020-03-15
981,47,39.65,2020-01-10
106,6,4.75,2020-02-20
127,24,87.0,2020-07-06
619,13,57.93,2020-02-09
314,31,68.46,2020-12-10
801,13,2.96,2020-02-21
349,20,25.14,2020-06-27
377,29,1.48,2020-08-07
577,45,89.76,2020-01-21
497,42,70.9,2020-01-22
302,11,4.85,2020-05-26
889,7,75.05,2020-02-20
392,31,47.91,2020-07-07
133,18,92.96,2020-12-02
980,1,85.67,2020-10-25
183,19,33.87,2020-03-21
386,35,24.35,2020-01-10
203,17,2.29,2020-05-08
684,11,22.91,2020-10-15
1000,9,14.63,2020-06-28
381,3,26.6,2020-07-17
44,2,10.28,2020-07-30
505,38,32.73,2020-02-04
827,41,41.79,2020-09-08
294,34,22.26,2020-05-23
650,33,50.84,2020-06-22
889,26,71.24,2020-10-16
850,13,5.66,2020-08-06
57,37,80.64,2020-09-24
526,33,99.94,2020-05-23
622,12,85.45,2020-02-25
501,41,96.14,2020-04-01
165,48,80.27,2020-12-15
17,41,72.73,2020-05-15
334,24,97.81,2020-09-25
222,27,29.95,2020-07-11
765,2,43.52,2020-10-12
274,44,12.67,2020-06-18
926,45,40.03,2020-02-16
677,5,39.75,2020-09-08
228,8,67.79,2020-04-26
362,41,29.29,2020-06-22
357,9,56.63,2020-01-30
970,42,6.0,2020-08-02
571,48,79.81,2020-02-26
997,1,30.61,2020-09-28
483,50,80.33,2020-03-21
793,37,13.44,2020-04-03
865,44,99.97,2020-07-05
449,21,59.75,2020-07-23
911,1,66.14,2020-04-11
737,39,24.39,2020-08-07
386,7,31.71,2020-05-16
531,19,7.92,2020-07-10
197,40,83.36,2020-04-12
333,22,14.2,2020-05-02
256,27,36.4,2020-09-30
228,5,88.12,2020-10-18
611,42,4.58,2020-03-26
23,44,65.36,2020-06-06
30,25,78.67,2020-06-27
362,16,34.6,2020-11-06
829,27,24.24,2020-03-03
259,36,34.24,2020-12-10
635,37,17.02,2020-04-25
427,8,92.53,2020-04-14
463,22,89.8,2020-03-12
917,42,63.69,2020-04-03
640,45,1.84,2020-08-16
898,33,97.35,2020-09-20
494,7,54.6,2020-04-29
194,45,52.68,2020-04-13
249,44,67.92,2020-07-18
727,39,67.13,2020-09-18
892,9,61.01,2020-06-29
192,46,38.67,2020-07-19
23,6,58.05,2020-04-11
878,45,6.56,2020-01-12
622,36,94.51,2020-09-01
860,16,95.89,2020-11-04
558,40,68.86,2020-04-26
641,19,8.74,2020-12-04
934,9,28.22,2020-04-18
489,41,49.35,2020-03-07
741,42,56.0,2020-12-07
824,18,93.28,2020-09-30
721,50,41.57,2020-01-26
431,44,96.86,2020-01-09
49,37,94.16,2020-11-26
836,29,75.03,2020-02-28
998,18,1.03,2020-11-21
910,46,39.41,2020-11-28
863,21,83.67,2020-07-06
908,32,85.61,2020-10-15
386,13,72.9,2020-08-21
930,21,40.18,2020-01-24
152,15,10.77,2020-06-29
828,47,82.66,2020-03-21
399,11,80.63,2020-02-28
933,19,97.73,2020-01-24
249,40,26.77,2020-03-05
713,10,44.11,2020-03-31
830,42,10.05,2020-06-08
808,28,75.42,2020-12-14
993,39,62.55,2020-06-04
984,19,27.67,2020-12-15
133,11,81.65,2020-04-02
296,37,51.62,2020-07-03
942,43,24.65,2020-08-21
836,3,76.95,2020-09-22
61,26,78.08,2020-04-05
622,19,88.62,2020-02-25
114,21,10.36,2020-07-20
253,41,10.43,2020-05-10
917,36,78.32,2020-07-25
704,8,43.87,2020-01-08
110,7,83.27,2020-08-08
399,20,9.97,2020-05-27
860,49,65.08,2020-10-13
254,2,57.75,2020-01-26
17,32,22.16,2020-02-28
840,16,32.63,2020-11-18
960,9,12.23,2020-07-17
233,40,63.37,2020-09-28
319,23,75.14,2020-01-16
358,34,44.28,2020-08-30
14,5,53.78,2020-03-04
439,17,51.26,2020-09-26
758,38,26.7,2020-08-13
255,20,70.37,2020-10-06
751,19,82.77,2020-08-28
813,42,93.82,2020-08-02
365,40,92.8,2020-09-25
274,46,1.11,2020-04-26
501,4,29.99,2020-02-12
605,40,48.81,2020-12-08
624,7,88.73,2020-01-16
186,29,99.77,2020-06-21
523,7,75.96,2020-05-18
304,26,39.32,2020-01-18
75,6,22.14,2020-01-13
944,27,68.12,2020-06-03
624,21,67.74,2020-09-24
865,31,39.09,2020-02-29
681,34,44.26,2020-05-05
184,10,79.25,2020-03-08
279,23,76.26,2020-03-01
387,23,58.69,2020-08-16
979,21,18.95,2020-12-14
810,31,72.01,2020-09-09
61,1,60.47,2020-12-25
708,20,55.02,2020-07-22
431,35,87.5,2020-02-02
336,24,5.21,2020-08-07
906,10,98.93,2020-08-27
166,16,61.78,2020-01-12
566,12,94.36,2020-09-25
857,2,28.73,2020-05-09
71,45,42.57,2020-02-05
339,47,38.88,2020-08-31
963,38,74.59,2020-05-18
696,49,59.74,2020-08-17
291,11,23.67,2020-01-07
903,21,98.16,2020-11-27
17,5,78.78,2020-01-19
676,36,76.47,2020-10-13
719,45,91.04,2020-11-02
634,41,19.71,2020-05-24
533,46,50.27,2020-10-27
867,14,40.35,2020-03-08
415,18,19.82,2020-12-10
473,12,43.07,2020-10-08
327,36,40.14,2020-07-09
693,1,87.12,2020-06-14
760,21,64.47,2020-01-25
682,38,18.14,2020-09-11
322,19,97.21,2020-08-28
7,29,2.11,2020-08-31
125,19,71.14,2020-05-13
258,38,25.18,2020-12-08
252,25,71.87,2020-08-17
740,50,46.33,2020-04-18
481,41,74.93,2020-10-21
847,18,10.08,2020-06-28
6,48,98.25,2020-02-01
668,49,75.68,2020-01-13
810,39,44.39,2020-07-27
169,30,93.06,2020-05-10
525,40,56.49,2020-05-06
303,8,16.25,2020-03-22
459,39,46.9,2020-12-21
545,31,61.97,2020-06-21
56,36,98.84,2020-08-09
958,50,23.55,2020-10-13
120,30,0.83,2020-02-18
104,9,54.88,2020-03-05
324,24,64.01,2020-12-26
698,30,52.31,2020-04-16
210,22,32.06,2020-04-22
117,19,68.7,2020-02-03
466,34,7.63,2020-04-08
459,10,56.32,2020-06-02
448,29,55.86,2020-10-19
98,40,79.62,2020-02-03
777,2,36.62,2020-03-10
718,29,56.17,2020-08-19
171,22,37.54,2020-06-06
891,41,59.61,2020-12-10
810,47,4.8,2020-10-03
326,23,83.87,2020-03-13
241,34,58.57,2020-06-11
34,44,47.31,2020-12-28
217,30,80.26,2020-10-14
491,1,32.64,2020-06-29
290,18,82.9,2020-05-21
300,20,11.78,2020-08-13
772,47,99.83,2020-09-14
261,14,67.45,2020-05-07
243,18,85.29,2020-04-08
545,23,5.33,2020-01-18
152,37,40.02,2020-07-29
244,16,1.72,2020-06-04
200,39,90.24,2020-11-06
228,17,49.67,2020-10-04
400,1,50.42,2020-01-07
924,6,81.72,2020-10-17
160,8,0.56,2020-01-04
936,9,73.97,2020-10-09
808,2,93.96,2020-08-08
958,23,63.15,2020-08-27
594,42,25.04,2020-03-28
336,39,31.79,2020-10-08
774,3,79.79,2020-09-05
678,16,12.51,2020-01-09
360,36,54.93,2020-07-12
871,13,99.06,2020-12-27
844,34,84.94,2020-06-06
31,15,34.99,2020-03-23
676,47,0.53,2020-05-25
412,46,91.6,2020-10-05
669,8,23.6,2020-08-05
56,4,18.02,2020-09-10
945,27,17.8,2020-01-22
794,26,82.46,2020-01-20
487,29,13.15,2020-09-11
201,16,4.28,2020-10-13
635,27,13.54,2020-03-30
877,6,12.65,2020-02-12
897,26,55.67,2020-10-24
337,44,61.8,2020-02-23
6,45,76.93,2020-08-15
34,40,78.36,2020-06-02
299,41,85.09,2020-12-07
379,7,30.59,2020-11-27
296,3,86.83,2020-03-04
222,39,59.56,2020-05-25
787,7,27.34,2020-05-18
782,21,61.38,2020-02-22
944,36,11.17,2020-10-22
59,27,22.63,2020-06-23
173,1,5.49,2020-02-26
207,15,8.29,2020-01-21
407,29,62.0,2020-03-20
230,15,44.68,2020-09-02
900,26,24.55,2020-03-21
210,2,12.03,2020-07-11
72,1,20.61,2020-06-26
743,1,51.12,2020-02-10
302,13,45.46,2020-03-05
427,37,64.88,2020-10-02
873,44,0.15,2020-05-21
893,21,48.45,2020-07-26
733,46,19.27,2020-05-26
698,2,40.66,2020-09-21
79,50,89.04,2020-07-07
115,6,83.2,2020-12-19
410,23,3.39,2020-11-06
11,30,68.43,2020-05-11
883,31,68.57,2020-02-26
351,31,63.71,2020-09-29
607,18,48.71,2020-06-12
691,42,90.17,2020-04-01
776,35,42.06,2020-05-24
618,21,89.95,2020-02-21
181,31,46.38,2020-12-13
849,30,19.19,2020-02-29
305,44,24.0,2020-01-27
911,47,16.43,2020-02-11
354,12,82.78,2020-04-03
950,40,50.86,2020-07-09
433,42,40.21,2020-02-15
125,34,18.51,2020-12-25
709,23,66.17,2020-06-07
124,2,94.9,2020-03-05
442,16,37.97,2020-04-26
223,30,6.93,2020-11-19
593,4,70.11,2020-03-08
954,42,45.96,2020-09-06
884,8,63.39,2020-02-13
109,33,96.39,2020-12-03
33,25,24.0,2020-06-20
110,17,29.65,2020-07-05
132,44,96.81,2020-11-14
622,33,9.73,2020-01-26
715,27,76.99,2020-02-11
17,24,88.97,2020-04-17
999,14,39.62,2020-05-01
5,50,79.33,2020-08-16
280,8,69.63,2020-05-21
221,20,14.82,2020-12-15
281,18,17.64,2020-08-14
986,47,80.28,2020-10-14
225,42,4.26,2020-05-04
82,36,65.33,2020-12-28
664,29,71.56,2020-03-03
26,19,42.53,2020-05-03
271,19,68.3,2020-03-04
947,20,8.84,2020-05-31
408,11,24.41,2020-07-04
464,22,81.08,2020-01-11
939,49,95.16,2020-09-04
22,22,45.55,2020-09-07
701,18,23.19,2020-10-13
489,41,88.92,2020-10-22
310,25,19.95,2020-12-13
570,3,0.94,2020-02-01
814,4,23.77,2020-08-29
881,44,67.81,2020-05-11
529,8,65.93,2020-05-11
223,7,42.52,2020-11-20
970,20,94.76,2020-01-23
808,15,18.24,2020-07-17
280,44,11.29,2020-04-23
815,16,91.88,2020-04-27
275,2,92.51,2020-01-13
784,37,4.83,2020-04-17
672,2,71.83,2020-09-07
974,6,32.21,2020-06-04
398,26,57.94,2020-09-30
743,45,45.37,2020-06-03
625,9,78.51,2020-01-06
474,48,69.04,2020-08-29
724,42,17.91,2020-02-09
153,26,68.28,2020-03-26
758,20,38.21,2020-06-07
718,1,87.05,2020-02-18
974,19,32.66,2020-02-08
193,29,17.55,2020-06-16
745,36,0.76,2020-06-05
800,19,54.3,2020-07-10
606,27,30.19,2020-05-12
646,48,7.03,2020-06-01
34,43,83.16,2020-02-24
112,16,81.22,2020-07-11
307,2,81.34,2020-09-06
635,12,28.48,2020-03-17
503,17,16.6,2020-12-29
762,42,79.58,2020-03-19
469,11,56.25,2020-03-02
13,42,14.09,2020-07-06
470,43,35.41,2020-10-09
182,44,63.6,2020-03-07
707,29,77.17,2020-05-16
98,25,37.09,2020-05-03
518,37,82.61,2020-06-23
116,22,63.26,2020-10-17
597,42,79.47,2020-07-05
281,49,8.4,2020-10-30
983,32,27.61,2020-01-18
809,27,11.9,2020-05-02
699,21,61.55,2020-02-03
190,42,2.12,2020-11-27
794,32,6.57,2020-11-30
75,9,99.19,2020-05-24
521,18,77.86,2020-10-13
452,4,6.79,2020-10-09
845,8,60.64,2020-08-06
921,10,56.45,2020-03-28
387,27,96.48,2020-01-09
601,49,22.92,2020-09-24
134,46,61.89,2020-07-23
765,16,58.97,2020-12-07
790,9,81.1,2020-09-20
27,37,89.12,2020-06-11
439,28,94.67,2020-10-20
37,15,44.19,2020-10-14
260,47,53.09,2020-07-19
936,26,8.91,2020-05-26
116,25,6.28,2020-10-25
914,16,48.74,2020-11-23
614,14,22.37,2020-05-21
948,9,13.26,2020-01-27
375,24,79.91,2020-05-29
15,50,69.24,2020-06-15
430,32,23.73,2020-10-02
68,3,0.47,2020-04-10
305,28,15.76,2020-04-01
493,29,9.45,2020-11-08
892,26,34.5,2020-04-27
876,34,76.05,2020-06-02
214,35,69.2,2020-11-17
790,21,38.16,2020-01-27
801,9,43.29,2020-08-27
54,47,83.78,2020-04-14
272,28,49.19,2020-08-18
49,38,61.36,2020-08-14
966,47,76.56,2020-09-07
949,42,45.94,2020-02-09
71,46,15.04,2020-10-10
494,5,34.86,2020-10-10
953,41,99.74,2020-05-22
603,46,52.37,2020-12-07
661,50,35.19,2020-02-10
207,26,47.59,2020-08-20
942,45,12.5,2020-09-19
788,47,97.18,2020-10-04
48,32,74.46,2020-09-21
494,50,59.89,2020-10-16
739,15,62.11,2020-07-15
30,16,91.12,2020-09-14
432,17,72.06,2020-07-27
654,41,88.99,2020-03-18
780,41,68.75,2020-07-27
416,37,45.44,2020-12-09
220,11,27.39,2020-06-11
214,44,8.09,2020-04-28
179,32,45.85,2020-08-19
392,12,31.72,2020-02-09
25,15,51.79,2020-03-19
208,47,52.05,2020-06-14
459,1,9.46,2020-04-01
494,29,42.43,2020-11-17
85,35,26.56,2020-02-28
791,9,62.49,2020-01-17
160,1,5.0,2020-07-24
137,38,4.42,2020-11-12
186,28,99.78,2020-02-09
551,48,44.22,2020-12-02
447,3,98.13,2020-07-11
210,20,81.84,2020-08-15
486,7,61.66,2020-06-10
930,17,16.62,2020-12-27
500,41,37.88,2020-11-25
397,26,84.84,2020-04-27
522,18,18.95,2020-06-22
990,27,38.92,2020-03-20
272,12,78.68,2020-07-31
120,34,45.29,2020-09-11
232,18,71.96,2020-07-27
576,5,63.63,2020-05-14
36,33,68.33,2020-01-07
675,29,79.55,2020-07-19
959,28,1.38,2020-03-06
294,5,45.69,2020-02-28
326,23,86.32,2020-07-25
964,14,31.54,2020-04-28
393,8,96.84,2020-07-13
82,28,91.43,2020-12-02
306,14,67.31,2020-04-23
680,47,95.49,2020-02-20
544,41,69.97,2020-09-02
102,7,19.9,2020-02-17
683,44,72.79,2020-09-05
16,50,55.12,2020-10-09
882,8,34.58,2020-11-02
649,3,5.49,2020-09-26
554,15,6.71,2020-02-27
462,39,58.09,2020-01-10
752,42,14.73,2020-01-07
289,32,72.93,2020-01-12
588,39,34.42,2020-02-27
562,22,31.31,2020-03-23
542,25,10.38,2020-08-04
934,47,50.7,2020-01-20
125,10,52.36,2020-12-04
605,37,90.56,2020-02-24
35,34,84.08,2020-08-25
712,27,11.59,2020-04-20
162,40,62.11,2020-06-30
845,23,79.57,2020-09-10
150,12,75.47,2020-11-07
318,6,18.74,2020-11-25
158,17,56.14,2020-06-27
388,13,24.19,2020-06-04
233,30,79.07,2020-12-07
47,25,45.6,2020-11-07
954,46,28.82,2020-03-25
570,21,61.54,2020-07-03
894,11,84.27,2020-09-30
656,31,39.99,2020-04-24
134,37,68.06,2020-06-15
8,42,30.98,2020-11-22
512,8,60.09,2020-12-10
930,40,96.53,2020-10-12
377,37,57.9,2020-10-24
42,7,64.44,2020-09-09
927,11,17.5,2020-06-25
702,10,45.16,2020-03-29
492,44,62.11,2020-02-02
389,25,95.7,2020-02-16
374,19,60.41,2020-06-07
282,26,87.09,2020-01-12
852,8,44.68,2020-09-14
331,39,21.19,2020-05-16
522,20,52.27,2020-06-21
359,14,70.13,2020-07-03
649,24,68.87,2020-11-17
714,15,87.73,2020-11-02
402,12,52.8,2020-11-16
981,29,20.65,2020-12-06
72,20,3.24,2020-10-04
595,4,76.93,2020-04-11
805,15,4.35,2020-08-19
822,25,84.57,2020-07-07
646,45,6.27,2020-07-27
989,49,2.5,2020-09-15
852,3,11.67,2020-06-11
455,36,75.46,2020-01-01
259,20,11.65,2020-08-31
563,31,53.82,2020-07-31
811,22,60.26,2020-10-09
408,9,76.2,2020-10-06
736,19,24.42,2020-03-10
562,25,8.26,2020-04-08
628,40,69.38,2020-11-06
973,7,20.28,2020-04-29
185,10,72.84,2020-06-03
636,10,15.83,2020-03-29
688,12,95.34,2020-02-14
831,23,11.5,2020-09-16
395,31,17.29,2020-04-07
450,24,51.02,2020-09-04
721,24,83.5,2020-10-27
188,50,72.09,2020-08-12
496,17,85.68,2020-07-21
306,37,88.56,2020-12-04
837,41,5.48,2020-02-14
254,27,73.36,2020-07-21
570,30,93.33,2020-11-12
614,42,11.96,2020-06-09
837,50,31.94,2020-06-23
824,32,60.11,2020-08-22
723,20,77.75,2020-04-29
598,43,38.43,2020-09-08
86,25,39.89,2020-01-02
769,22,16.25,2020-02-12
268,7,83.84,2020-09-20
872,1,90.12,2020-11-26
283,18,74.88,2020-11-02
662,39,27.23,2020-09-02
976,42,55.34,2020-10-10
936,26,59.96,2020-02-14
126,11,24.67,2020-01-18
632,24,83.86,2020-12-10
714,27,97.76,2020-11-04
404,24,73.84,2020-05-23
289,36,97.29,2020-05-28
183,41,95.3,2020-12-12
438,7,22.92,2020-08-14
284,6,30.51,2020-07-26
242,1,53.9,2020-05-18
702,27,84.36,2020-12-04
33,45,78.41,2020-11-16
932,24,42.71,2020-02-03
54,18,52.04,2020-01-08
939,45,67.77,2020-03-01
124,41,36.91,2020-06-16
378,3,84.32,2020-11-17
444,5,18.26,2020-06-30
693,29,32.39,2020-05-17
476,43,56.88,2020-01-29
737,37,27.61,2020-07-02
905,41,94.21,2020-07-31
138,25,56.41,2020-01-14
486,35,49.87,2020-10-19
509,9,14.49,2020-10-04
793,35,24.82,2020-11-13
957,10,80.87,2020-11-30
54,30,91.81,2020-05-06
945,25,40.67,2020-10-19
806,27,3.3,2020-03-11
742,36,82.39,2020-06-14
297,27,52.35,2020-01-02
360,41,83.19,2020-08-15
987,19,76.33,2020-09-28
28,2,0.74,2020-11-01
635,40,14.13,2020-08-09
437,26,37.75,2020-01-02
332,49,48.4,2020-01-24
45,7,46.21,2020-10-02
562,49,50.78,2020-01-08
197,5,87.27,2020-01-21
726,18,76.53,2020-07-23
175,22,79.96,2020-09-03
749,8,36.12,2020-04-30
337,27,94.26,2020-04-17
104,1,80.33,2020-07-20
296,30,42.98,2020-12-04
195,26,9.96,2020-09-03
691,13,92.22,2020-04-20
731,44,35.09,2020-07-13
254,47,89.71,2020-09-22
915,45,46.14,2020-07-13
567,42,2.15,2020-05-24
190,6,78.97,2020-02-21
954,34,74.69,2020-10-16
110,25,9.99,2020-02-05
294,11,58.82,2020-07-05
796,41,80.93,2020-01-10
692,27,46.72,2020-06-25
821,2,7.31,2020-04-30
469,23,5.11,2020-12-30
749,29,15.2,2020-09-05
713,31,49.0,2020-06-05
136,37,88.71,2020-03-29
887,9,77.89,2020-11-27
584,44,51.65,2020-04-06
867,32,45.77,2020-01-28
227,27,65.26,2020-04-22
94,41,40.42,2020-07-06
531,14,40.35,2020-02-19
523,3,72.62,2020-10-31
15,38,64.11,2020-02-15
19,7,6.64,2020-07-17
329,23,76.04,2020-07-23
870,26,78.29,2020-03-25
988,12,97.24,2020-04-30
413,25,28.26,2020-12-23
810,21,84.05,2020-08-03
737,5,58.84,2020-06-06
679,31,31.1,2020-07-30
266,35,86.47,2020-11-01
30,18,35.91,2020-10-31
854,31,77.68,2020-08-20
